ACAD,Quarter,School No,School Name,School Type,Offering,SSF Date,Orientation Status,Orientation Date,Meeting Id
Unknown,Oct-Dec,5078653,G R International Public School,New School,Ei Mindspark,2025-10-23T00:00:00.000,Pending,,
Pooja Kapoor,Oct-Dec,5018473,The Heritage School Rampurhat,New School,Ei CARES,2025-10-17T00:00:00.000,Pending,,
Unknown,Oct-Dec,5074217,St Paul's school Rampurhat,New School,Ei CARES,2025-10-13T00:00:00.000,Pending,,
Jasper Jessie,Oct-Dec,5070482,"Kittu Rani Chennamma Residential School(Sc),Thyamagundalu",New School,"Ei ASSET,Ei CARES,Ei Mindspark",2025-10-09T00:00:00.000,Completed,2025-12-15T12:57:28.000,51788000302520170
Jasper Jessie,Oct-Dec,5070312,"Kittu Rani Chennamma Residential School(Sc),Channaraypatna",New School,"Ei ASSET,Ei CARES,Ei Mindspark",2025-10-09T00:00:00.000,Completed,2025-12-22T16:17:00.000,51788000303104696
Chaitanya Kolluri,Oct-Dec,5077577,Edu Girls KREIS,New School,"Ei ASSET,Ei CARES,Ei Mindspark",2025-10-08T00:00:00.000,Pending,,
Gargi Ghosh,Oct-Dec,5018035,"Apeejay School, Haldia",New School,Ei ASSET,2025-10-06T00:00:00.000,Completed,2025-11-17T14:00:00.000,51788000300602300
Lopamudra Das,Oct-Dec,251230,"Apeejay School, Salt Lake Branch",New School,Ei Mindspark,2025-10-06T00:00:00.000,Pending,,
Rana Sumit Kumar Singh,Oct-Dec,4041890,"Apeejay School, Bhubaneswar",New School,Ei Mindspark,2025-10-06T00:00:00.000,Completed,2025-10-18T13:00:51.000,51788000298740264
Gargi Ghosh,Oct-Dec,255648,Apeejay School- Parkstreet,New School,Ei Mindspark,2025-10-06T00:00:00.000,Completed,2025-10-14T13:30:00.000,51788000298408824
Lopamudra Das,Oct-Dec,251230,"Apeejay School, Salt Lake Branch",New School,"Ei ASSET,Ei Mindspark",2025-10-06T00:00:00.000,Completed,2025-11-14T14:45:00.000,51788000300543140
Gargi Ghosh,Oct-Dec,255648,Apeejay School- Parkstreet,New School,"Ei ASSET,Ei Mindspark",2025-10-06T00:00:00.000,Pending,,
Gargi Ghosh,Oct-Dec,255648,Apeejay School- Parkstreet,New School,Ei ASSET,2025-10-06T00:00:00.000,Pending,,
Rana Sumit Kumar Singh,Oct-Dec,4041890,"Apeejay School, Bhubaneswar",New School,Ei ASSET,2025-10-06T00:00:00.000,Completed,2025-11-18T17:00:35.000,51788000300604860
Lopamudra Das,Oct-Dec,251230,"Apeejay School, Salt Lake Branch",New School,Ei ASSET,2025-10-06T00:00:00.000,Completed,2025-11-14T14:45:00.000,51788000300543140
Rana Sumit Kumar Singh,Oct-Dec,4041890,"Apeejay School, Bhubaneswar",New School,"Ei ASSET,Ei Mindspark",2025-10-06T00:00:00.000,Completed,2025-11-18T17:00:35.000,51788000300604860
